ingredient,primary,secondary,tertiary,quaternary
Flame Stalk,Restore Health,Resist Frost,Weakness to Fire,Invisibility
Fungus Stalk,Restore Magicka,Fortify Health,Fortify Stamina,Waterbreathing
Glassfish,Restore Magicka,Invisibility,Fortify Illusion,Fortify Persuasion
Gnarl Bark,Damage Health,Regenerate Health,Fortify Heavy Armor,Resist Fire
Gold Kanet,Paralysis,Ravage Health,Weakness to Frost,Fortify Smithing
Goldfish,Restore Stamina,Fortify Heavy Armor,Waterbreathing,Resist Frost
Green Butterfly Wing,Restore Magicka,Fear,Slow,Invisibility
Hackle-Lo Leaf,Restore Stamina,Paralysis,Waterbreathing,Fortify Restoration
Harrada,Damage Health,Damage Magicka,Paralysis,Damage Magicka Regen
Healing Salts,Weakness to Magic,Fortify Restoration,Slow,Regenerate Magicka
Heart of Order,Restore Health,Fortify Health,Fortify One-Handed,Fortify Two-Handed
Hunger Tongue,Weakness to Fire,Cure Disease,Cure Poison,Fortify Magicka
Hydnum Azure Giant Spore,Resist Frost,Fortify Health,Regenerate Health,Light
Hypha Facia,Weakness to Poison,Frenzy,Ravage Stamina,Resist Magic
Imp Gall,Damage Health,Weakness to Fire,Fortify Barter,Cure Poison
Ironwood Fruit,Restore Health,Resist Fire,Damage Stamina,Restore Magicka
Juvenile Mudcrab,Regenerate Stamina,Fortify Carry Weight,Cure Disease,Fortify Two-Handed
Kagouti Hide,Lingering Damage Stamina,Night Eye,Fortify Carry Weight,Resist Shock
Kresh Fiber,Weakness to Magic,Slow,Fortify Sneak,Fortify Pickpocket
Lichor,Restore Magicka,Regenerate Magicka,Fortify Magicka,Spell Absorption
Luminous Russula,Lingering Damage Stamina,Lingering Damage Health,Waterbreathing,Fear
Lyretail Anthias,Restore Magicka,Fortify Alteration,Fortify Conjuration,Fortify Carry Weight
Marshmerrow,Restore Health,Fortify Carry Weight,Weakness to Magic,Damage Stamina
Minotaur Horn,Resist Poison,Damage Magicka Regen,Regenerate Health,Regenerate Magicka
Mort Flesh,Damage Health,Damage Magicka,Damage Magicka Regen,Frenzy
Ogre's Teeth,Weakness to Shock,Resist Poison,Lingering Damage Magicka,Regenerate Health
Pearlfish,Restore Stamina,Resist Frost,Fortify Smithing,Fortify One-Handed
Purple Butterfly Wing,Regenerate Health,Regenerate Magicka,Regenerate Stamina,Paralysis
Pygmy Sunfish,Restore Stamina,Lingering Damage Magicka,Damage Magicka Regen,Fortify Restoration
Red Kelp Gas Bladder,Regenerate Stamina,Waterbreathing,Cure Disease,Fortify Magicka
Redwort Flower,Resist Frost,Cure Poison,Damage Health,Invisibility
Roobrush,Weakness to Magic,Fortify Sneak,Lingering Damage Health,Cure Poison
Rot Scale,Slow,Lingering Damage Health,Fear,Paralysis
Saltrice,Restore Stamina,Fortify Magicka,Damage Stamina Regen,Restore Health
Scalon Fin,Waterbreathing,Damage Health,Lingering Damage Magicka,Damage Magicka Regen
Screaming Maw,Regenerate Magicka,Fortify Alteration,Invisibility,Regenerate Health
Scrib Jelly,Regenerate Magicka,Cure Poison,Cure Disease,Regenerate Stamina
Scrib Jerky,Restore Stamina,Fortify Stamina,Paralysis,Waterbreathing
Simon Rodayne's Heart,Damage Health,Damage Magicka,Damage Magicka Regen,Frenzy
Sload Soap,Resist Fire,Fear,Fortify Conjuration,Fortify Alteration
Spadefish,Restore Health,Fortify Lockpicking,Fortify Pickpocket,Cure Disease
Spiddal Stick,Damage Health,Damage Magicka,Weakness to Fire,Restore Stamina
Steel-Blue Entoloma,Restore Magicka,Fortify Destruction,Resist Frost,Fortify Carry Weight
Stoneflower Petals,Weakness to Shock,Fortify One-Handed,Fortify Magicka,Fortify Enchanting
Thorn Hook,Lingering Damage Health,Paralysis,Regenerate Magicka,Regenerate Health
Void Essence,Restore Health,Fortify Health,Fortify Stamina,Regenerate Health
Watcher's Eye,Night Eye,Fortify Magicka,Fortify Illusion,Spell Absorption
Wild Grass Pod,Resist Poison,Ravage Magicka,Fortify Alteration,Restore Magicka
Wisp Stalk Caps,Damage Health,Weakness to Poison,Frenzy,Regenerate Stamina
Withering Moon,Restore Magicka,Spell Absorption,Fortify Light Armor,Cure Disease
Worm's Head Cap,Fortify Lockpicking,Night Eye,Fortify Carry Weight,Slow
